#,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
105,Ben DeLuzio,ARI,A,22-22,202,6.40%,16.30%,0.39,0.317,0.366,0.425,0.791,0.108,6.6,0.383,-0.3,30,5.9,0.36,125
106,Ruben Castro,HOU,A,21-22,223,14.30%,18.80%,0.76,0.286,0.395,0.362,0.757,0.076,5.1,0.363,-0.7,32,6.3,0.36,124
107,Brian Rey,CIN,A,21-21,259,4.20%,13.50%,0.31,0.281,0.326,0.464,0.789,0.183,2.7,0.291,0.1,37,7.4,0.36,125
108,Brice Turang,MIL,A,19-19,357,13.70%,15.10%,0.91,0.287,0.384,0.376,0.76,0.089,7.5,0.339,2.4,51,10.2,0.36,125
109,Kaleo Johnson,TBR,A,22-22,258,5.40%,22.90%,0.24,0.286,0.337,0.437,0.774,0.151,4.3,0.353,0.3,37,7.4,0.36,125
110,Ross Adolph,HOU,A,22-22,288,12.80%,34.40%,0.37,0.223,0.354,0.403,0.758,0.181,7.2,0.351,-1.5,41,8.2,0.359,125
111,Alejo Lopez,CIN,A,22-22,260,6.90%,11.90%,0.58,0.321,0.375,0.406,0.781,0.085,4.6,0.364,-1.1,37,7,0.359,123
112,Christopher Morel,CHC,A,20-20,278,4.00%,21.60%,0.18,0.284,0.32,0.467,0.787,0.183,7,0.345,-0.7,40,7.8,0.359,124
113,Franklin Torres,LAA,A,21-21,337,13.10%,17.80%,0.73,0.285,0.381,0.382,0.763,0.097,5.5,0.345,1.9,48,9,0.359,123
114,Jaylin Davis,MIN,A,22-22,272,5.90%,28.30%,0.21,0.267,0.316,0.486,0.802,0.219,6.7,0.335,1,39,7.3,0.357,123
115,José Fermín,CLE,A,20-20,456,9.20%,8.80%,1.05,0.293,0.374,0.379,0.753,0.087,6.4,0.311,1.8,65,12.2,0.357,123
116,Daniel Pinero,DET,A,23-23,497,11.50%,13.70%,0.84,0.289,0.377,0.398,0.775,0.109,4.6,0.33,0.2,72,13.2,0.357,123
117,Justin Jones,LAA,A,23-23,364,11.50%,19.00%,0.61,0.26,0.36,0.391,0.751,0.131,5.1,0.302,0.8,52,9.6,0.357,123
118,Chuckie Robinson,HOU,A,22-22,468,6.60%,20.90%,0.32,0.274,0.33,0.463,0.793,0.188,5.4,0.324,1,67,12.1,0.356,122
119,Gilberto Celestino,MIN,A,20-20,503,9.50%,16.10%,0.59,0.276,0.35,0.409,0.759,0.133,4.7,0.317,-0.6,71,12.9,0.356,122
120,Sam McMillan,DET,A,20-20,280,16.80%,17.90%,0.94,0.241,0.398,0.314,0.711,0.073,3.3,0.302,-1.4,39,7.1,0.355,122
121,Scott Hurst,STL,A,22-22,216,8.80%,19.00%,0.46,0.295,0.361,0.411,0.772,0.116,5.1,0.353,-0.3,30,5.2,0.355,121
122,Jonathan Araúz,HOU,A,18-19,386,13.00%,14.50%,0.89,0.269,0.369,0.396,0.765,0.127,5.9,0.313,-1.5,54,9.2,0.355,121
123,Akil Baddoo,MIN,A,19-19,517,14.30%,24.00%,0.6,0.243,0.351,0.419,0.77,0.176,8,0.311,2.6,72,12.2,0.355,121
124,Irving Lopez,STL,A,23-23,337,9.20%,16.00%,0.57,0.273,0.366,0.391,0.757,0.118,3.7,0.321,-0.5,47,7.9,0.354,120
125,Conner Capel,CLE,A,20-20,492,8.70%,22.00%,0.4,0.246,0.316,0.478,0.795,0.232,7,0.275,-1.1,70,12.1,0.354,121
126,Jancarlos Cintron,ARI,A,23-23,377,4.80%,11.90%,0.4,0.298,0.347,0.427,0.774,0.129,3.9,0.321,-1.1,52,8.8,0.354,120
127,Spencer Steer,MIN,A,21-21,201,9.50%,13.90%,0.68,0.26,0.358,0.387,0.745,0.127,6.4,0.299,0.5,28,4.9,0.354,121
